datetime,conditions,description,icon
14/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/08/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
16/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
17/08/2023,Overcast,Cloudy skies throughout the day.,cloudy
18/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
19/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/08/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
25/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
26/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
27/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
31/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/09/2023,Clear,Clear conditions throughout the day.,clear-day
02/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/09/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
09/09/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
10/09/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
11/09/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
12/09/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
13/09/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
14/09/2023,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
15/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/09/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
18/09/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
19/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/09/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/09/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
24/09/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
25/09/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
26/09/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
27/09/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
28/09/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
29/09/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
30/09/2023,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
01/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/10/2023,Clear,Clear conditions throughout the day.,clear-day
04/10/2023,Clear,Clear conditions throughout the day.,clear-day
